iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,36.089,11,3,94041601.543,2.118411,2064383.738355,104225.959530,2061750.995767,82548244.439
2,100.501,15,9,58960737.576,1.406657,677598.474617,29143.085072,676971.471626,47157548.466
3,212.222,20,20,51240626.492,1.079293,551976.814040,19940.363578,551616.520001,39674236.911
4,324.227,20,20,46848495.489,1.011046,478022.212344,15289.736626,477777.625521,35518519.187
5,436.948,20,20,44089251.289,0.982205,423224.941052,13215.798101,423018.549722,33148968.128
6,549.322,20,20,42327772.717,0.972318,345279.957424,11994.084864,345071.573630,31855611.747
7,661.832,20,20,41145816.322,0.967597,297296.955512,11263.712789,297083.504307,31106923.206
8,735.628,20,9,40455672.436,0.967271,173794.844165,9883.147569,173513.605381,30809579.152
9,848.034,20,20,39798501.307,0.968847,249478.517229,10098.343416,249274.054043,30440304.489
10,918.382,20,8,39329928.858,0.969102,153081.638996,8370.068994,152852.641923,30249698.837
11,1030.889,20,20,38841785.164,0.971212,232705.587912,9788.064542,232499.643953,30004098.620
12,1097.570,20,7,38463246.100,0.971603,140849.893552,7655.260935,140641.706097,29866916.097
13,1164.230,20,7,38204611.009,0.973349,135472.292124,7630.815996,135257.208978,29819359.340
14,1196.782,9,3,38058639.374,0.973364,123655.817731,4911.495569,123558.239183,29822780.124
15,1309.178,20,20,37737410.694,0.975249,182192.294909,9557.514665,181941.436285,29616226.160
16,1379.481,20,8,37453607.226,0.976030,103847.128206,7397.654318,103583.303419,29528481.488
17,1412.063,9,3,37325986.422,0.976060,120377.078910,4943.333853,120275.536072,29531304.583
18,1524.631,20,20,37053928.595,0.978053,183111.418696,9148.499756,182882.740053,29367212.018
19,1587.782,18,7,36812981.915,0.978323,99384.071660,6928.493001,99142.269918,29294024.087
20,1651.050,20,6,36644793.417,0.979650,102135.867697,6731.683599,101913.786634,29274339.135
21,1704.809,9,9,36518005.943,0.980008,101743.264142,6351.779050,101544.801448,29248368.633
22,1761.068,20,4,36391063.360,0.981364,93623.962412,5398.728075,93468.176792,29253713.134
23,1853.569,9,20,36199607.479,0.981797,134898.112122,7761.481812,134674.645179,29131165.485
24,1920.283,20,7,36025170.063,0.982577,95308.639688,6574.419192,95081.616580,29092346.076
25,1952.919,9,3,35933959.716,0.982587,84701.309861,4415.122868,84586.160701,29092730.527
26,2016.124,20,6,35831163.759,0.983526,91160.974184,6120.939678,90955.248950,29071412.524
27,2066.275,9,8,35733552.513,0.983926,88091.369485,6009.471255,87886.151542,29053027.364
28,2179.049,20,20,35541388.900,0.985503,127480.709296,7885.384388,127236.598334,28955029.784
29,2225.871,11,6,35418815.153,0.985720,86683.586563,5971.202913,86477.678711,28925565.947
30,2289.081,20,6,35304123.293,0.986346,78611.456513,6080.715328,78375.927402,28915342.843
31,2339.253,9,8,35217604.868,0.986797,76875.750249,5607.907345,76670.935508,28899915.773
32,2395.475,20,4,35129932.033,0.987565,79664.473578,4881.353593,79514.783138,28905082.677
33,2488.028,9,20,34996049.611,0.988631,112190.838516,7314.671996,111952.131826,28816314.728
34,2551.233,20,6,34876251.382,0.989091,77772.330356,5812.574869,77554.815082,28792291.211
35,2583.830,9,3,34814259.613,0.989102,76068.357328,3898.188007,75968.408676,28793647.917
36,2647.003,20,6,34742890.852,0.989482,69089.951798,5555.830367,68866.204980,28776497.672
37,2700.584,9,9,34672247.552,0.990022,66625.840694,5440.479879,66403.341986,28762470.273
38,2756.756,20,4,34603220.486,0.990576,60201.672103,4560.363364,60028.696554,28768052.407
39,2849.379,9,20,34489960.642,0.991769,98523.816195,6910.928132,98281.134660,28691013.104
40,2916.097,20,7,34387081.133,0.992187,64037.784006,5660.833142,63787.089200,28669533.822
41,2948.666,9,3,34333728.496,0.992252,57398.934604,3807.026317,57272.543547,28670535.330
42,3008.387,20,5,34275249.926,0.992526,66794.797090,5047.818741,66603.787011,28661040.655
43,3058.522,9,8,34219100.985,0.992965,60257.940768,5001.075329,60050.051383,28650073.923
44,3100.255,14,3,34171383.203,0.993194,50784.720488,3789.848961,50643.112858,28655878.848
45,3212.618,20,20,34066428.974,0.994554,92576.170656,6795.616398,92326.415348,28585819.979
46,3259.346,11,6,33988486.394,0.994828,59631.972021,5268.464231,59398.782578,28566197.787
47,3322.492,20,6,33922211.507,0.995222,54859.699861,5272.863432,54605.710142,28561655.261
48,3372.632,9,8,33870726.302,0.995735,53100.914452,4883.266254,52875.900241,28552796.324
49,3428.810,20,4,33818391.960,0.995998,54379.423481,4199.446166,54217.030074,28557397.654
50,3521.162,9,20,33736968.186,0.997420,80550.240515,6344.810124,80299.966572,28501461.481
51,3584.384,20,6,33663266.010,0.997738,55342.408251,5044.069267,55112.063256,28488734.564
52,3627.491,9,6,33619436.776,0.998061,48695.332498,4573.249006,48480.107267,28483556.977
53,3691.147,20,6,33568794.918,0.998240,49723.384848,4860.022622,49485.302675,28480241.257
54,3784.109,9,20,33491907.925,0.999876,79530.406091,6161.372144,79291.380278,28431915.245
55,3847.392,20,6,33422172.549,1.000048,51804.734083,4946.592387,51568.029797,28419558.262
56,3879.942,9,3,33386901.365,1.000096,49277.890923,3344.420122,49164.269422,28420409.558
57,3936.098,20,4,33348723.807,0.999970,52143.469423,4447.755419,51953.429870,28414106.494
58,3979.444,9,6,33313649.626,1.000339,45348.118339,4278.620294,45145.822013,28409240.332
59,4053.193,20,9,33268303.552,1.000840,46262.840083,5175.264033,45972.459307,28401268.246
60,4085.794,9,3,33236420.302,1.000971,42052.742472,3237.027941,41927.971564,28402973.139
61,4142.050,20,4,33205328.124,1.001056,44555.602463,3990.309515,44376.560715,28402321.254
62,4234.473,9,20,33142906.021,1.002313,63105.563968,5855.171672,62833.344399,28359226.588
63,4288.661,15,6,33093731.743,1.002670,44580.725634,4545.426208,44348.395671,28349711.590
64,4351.913,20,6,33051497.448,1.002882,41543.054278,4682.059784,41278.368123,28347067.756
65,4402.143,9,8,33017525.721,1.003367,40477.806311,4329.482931,40245.600769,28341111.914
66,4454.860,20,3,32984680.102,1.003426,41568.205324,3531.192348,41417.947492,28345753.903
67,4548.953,10,20,32929844.083,1.004831,62339.997639,5766.184943,62072.751001,28305201.506
68,4603.249,15,6,32884860.915,1.005153,40234.948999,4461.789325,39986.792282,28296474.919
69,4666.494,20,6,32846318.862,1.005241,36995.880784,4553.230468,36714.619531,28294201.178
70,4716.690,9,8,32816097.858,1.005690,36510.490307,4171.756304,36271.370967,28289072.028
71,4769.410,20,3,32786633.829,1.005666,38267.062486,3473.725957,38109.071090,28292916.339
72,4863.695,10,20,32738476.183,1.007046,57878.838013,5555.380153,57611.610298,28257435.090
73,4918.025,15,6,32698521.821,1.007344,37146.931050,4310.737790,36895.962192,28249914.961
74,4981.291,20,6,32664052.863,1.007380,33944.373440,4413.300693,33656.251503,28247845.692
75,5028.073,9,7,32637812.748,1.007761,34950.804753,3992.118917,34722.064159,28244251.078
76,5080.761,20,3,32611592.356,1.007646,32961.065135,3341.616905,32791.239856,28247394.265
77,5175.028,10,20,32568835.944,1.009020,54084.992320,5423.745420,53812.353413,28215437.253
78,5229.163,15,6,32532744.999,1.009310,34647.094906,4160.082866,34396.437257,28208635.627
79,5292.730,20,6,32501979.324,1.009325,31370.666622,4268.807069,31078.867587,28206866.035
80,5339.543,9,7,32478420.186,1.009694,32166.532180,3864.316830,31933.569295,28203677.116
81,5392.245,20,3,32454819.863,1.009554,30407.391896,3242.047010,30234.063788,28206466.884
82,5486.540,10,20,32416393.740,1.010891,50037.396758,5263.281218,49759.812551,28177596.094
83,5540.711,15,6,32383912.607,1.011173,32179.439043,4029.520114,31926.153303,28171535.434
84,5603.872,20,6,32356170.478,1.011168,29143.093747,4139.489345,28847.608932,28169960.665
85,5646.925,9,6,32335666.153,1.011465,30845.488385,3634.638988,30630.598315,28168067.385
86,5699.655,20,3,32314692.893,1.011260,30581.030902,3085.821293,30424.943024,28170178.525
87,5794.077,10,20,32280206.234,1.012577,47403.629267,5161.255541,47121.815637,28143758.537
88,5848.131,15,6,32250300.034,1.012851,30002.030341,3914.444234,29745.570274,28138088.375
89,5911.412,20,6,32225233.511,1.012843,27244.798699,4010.638169,26947.983925,28136740.035
90,5954.527,9,6,32206703.044,1.013131,28731.328994,3528.470717,28513.841554,28135057.939
91,6007.826,20,3,32187705.599,1.012922,28569.561935,2972.166027,28414.540262,28137009.728
92,6102.084,10,20,32156498.097,1.014197,44019.424859,5013.393974,43733.004079,28112923.773
93,6156.175,15,6,32129354.894,1.014465,28037.271430,3798.534537,27778.763914,28107840.446
94,6219.616,20,6,32106667.431,1.014455,25503.754392,3864.986785,25209.192078,28106648.209
95,6262.783,9,6,32089840.032,1.014735,26834.432862,3413.262474,26616.469080,28105159.557
96,6315.514,20,3,32072505.227,1.014516,26668.318468,2909.795366,26509.098454,28106987.444
97,6409.748,10,20,32044045.294,1.015759,41538.497201,4883.421307,41250.441768,28084830.642
98,6462.169,14,6,32019569.270,1.016030,26244.187081,3703.343016,25981.582055,28080176.830
99,6525.415,20,6,31998877.327,1.016011,23986.686840,3738.042941,23693.631645,28079247.763
100,6557.985,9,3,31985427.697,1.016076,25281.610210,2414.842697,25166.015766,28080595.900
101,6610.720,20,3,31971919.129,1.015836,28600.594737,2940.748598,28449.007312,28079254.680
102,6703.226,9,20,31945165.699,1.017026,40304.125362,4809.620697,40016.122626,28059066.934
103,6755.533,14,6,31921531.643,1.017298,24577.300714,3625.179292,24308.471475,28054118.991
104,6818.656,20,6,31902312.191,1.017300,22033.498678,3626.511091,21733.004424,28053020.342
105,6859.951,8,6,31888503.586,1.017573,23309.401733,3343.930406,23068.297263,28051826.270
106,6912.860,20,3,31873745.781,1.017351,23537.512898,2779.835114,23372.783962,28053491.143
107,7005.523,9,20,31850544.208,1.018544,36105.549695,4565.897320,35815.685118,28035226.873
108,7057.787,14,6,31830307.727,1.018794,23068.305128,3484.885932,22803.558309,28031614.203
109,7121.156,20,6,31812847.224,1.018756,21349.303457,3552.782914,21051.614942,28030977.785
110,7153.889,9,3,31801471.883,1.018820,22464.672115,2292.755194,22347.365994,28032172.717
111,7206.651,20,3,31790038.210,1.018580,25445.778494,2809.927119,25290.155254,28031039.484
112,7299.209,9,20,31767507.274,1.019695,35838.361446,4586.013001,35543.728502,28013821.720
113,7351.391,14,6,31747577.174,1.019952,21830.854090,3443.750378,21557.522437,28009683.392
114,7414.751,20,6,31731246.142,1.019940,19699.341711,3438.570442,19396.914630,28008770.424
115,7450.989,9,4,31720326.108,1.020057,21159.057447,2510.148771,21009.637436,28009257.662
116,7507.167,20,4,31708597.459,1.019879,23207.698369,3022.495488,23010.036606,28008376.113
117,7599.690,9,20,31687327.050,1.021035,32970.633706,4373.170878,32679.321649,27992702.652
118,7653.918,15,6,31669177.656,1.021256,20588.983107,3342.434681,20315.864633,27989190.430
119,7717.168,20,6,31654185.376,1.021241,19043.172012,3394.791537,18738.137333,27988402.471
120,7760.253,9,6,31643102.302,1.021483,19672.521874,3006.056859,19441.495288,27987389.703
121,7813.203,20,3,31631570.671,1.021268,19772.778218,2553.512873,19607.200985,27988823.641
122,7907.686,10,20,31613103.986,1.022344,31235.509623,4292.229422,30939.195658,27973874.819
123,7959.978,14,6,31597068.063,1.022578,19709.201559,3254.368696,19438.665347,27970932.511
124,8023.356,20,6,31583353.122,1.022538,18078.835114,3270.935489,17780.474125,27970416.780
125,8056.005,9,3,31574411.229,1.022600,18999.134637,2120.514366,18880.427320,27971437.873
126,8108.804,20,3,31565327.572,1.022367,21514.813952,2600.037736,21357.130499,27970529.483
127,8201.408,9,20,31547540.137,1.023392,30809.073952,4231.755601,30517.065427,27956567.513
